priority	status	target_path	target_namespace	source_namespace	symbols	recommendation	blocker	validation
P1	selective-intern-in	core/lib/src/work/flow/task.hal	work.flow.task	work.flow.task.engine	request|invocation|invocation-arguments|task-work?|default-task-options|schema-id|callable|task-defaults	intern-in	engine exposes compilation and execution internals	task facade surface|task tests
P1	selective-intern-in	core/lib/src/work/flow/make.hal	work.flow.make	work.flow.make.host	host?	intern-in	single selected export; whole owner surface is internal	make facade surface|host lifecycle tests
P1	selective-intern-in	core/lib/src/lang/runtime/basic.hal	lang.runtime.basic	lang.runtime.basic.type-basic|lang.runtime.basic.type-oneshot|lang.runtime.basic.type-verify	curated-set	intern-in	owners expose setup/result helpers and facade installs registry entries	runtime surface|JVM and Rust loader parity
P1	selective-intern-in	core/lib/src/std/config.hal	std.config	std.config.global|std.config.resolve	curated-set	intern-in	local session wrappers and hidden resolver internals	config surface|load and resolve tests
P1	selective-intern-in	core/lib/src/std/block/heal.hal	std.block.heal	std.block.heal.core	heal<-heal-content	intern-in-rename	renamed export plus local rainbow wrappers	heal surface|render tests
P2	keep-explicit	core/lib/src/code/test.hal	code.test	multiple test owners	curated macros and aliases	keep-explicit-or-intern-in	macros renames collisions and compatibility spellings	test facade surface|macro expansion
P2	keep-explicit	core/lib/src/code/vm.hal	code.vm	model|source|interpreter|halc|bytecode|conformance owners	prefixed facade	keep-explicit	prefixes deliberately prevent owner collisions	VM surface|conformance tests
P2	keep-explicit	core/lib/src/db/postgres.hal	db.postgres	connection and provider owners	mixed lifecycle surface	keep-explicit	connection lifecycle temporary DB Docker and component adaptation	postgres lifecycle tests
P2	keep-explicit	core/lib/src/lang/core.hal	lang.core	book|grammar|preprocess|registry|script|runtime owners	mixed bootstrap and generated surface	keep-explicit-or-generated	pointer registration runtime selection and grammar generation	ledger|deterministic generation|loader parity
P2	keep-explicit	core/lib/src/std/substrate.hal	std.substrate	std.substrate.*	mixed node and protocol surface	keep-explicit	owns SubstrateNode lifecycle protocol implementations and adapters	substrate tests|Result behaviour
P2	keep-explicit	core/lib/src/code/translate.hal	code.translate	code.translate.rule|code.translate.clojure	mixed aliases adapters and Work graph	keep-explicit-or-intern-in	project translation orchestration and adapted functions	translation tests|task tests
P2	keep-explicit	core/lib/src/code/manage.hal	code.manage	management owners	constructed task products	keep-explicit	public values are workflows rather than source Var aliases	management task tests
P2	keep-explicit	core/lib/src/std/lib/kernel.hal	std.lib.kernel	std.lib.kernel	sandbox-open|sandbox-eval|sandbox-call|sandbox-cancel|sandbox-status|sandbox-close	keep-explicit	public kernel owner keeps the native lifecycle wrappers in the std namespace without restoring std.sandbox	sandbox capability tests
P2	generator-owned	core/lib/src-lang/xt/substrate.hal	xt.substrate	XTalk grammar modules	def.xt and defspec.xt families	change-generator	target-language definitions belong to grammar publication	deterministic generation|representative def.xt
P2	ledger-owned	core/lib/src/code/migrate/script.hal	code.migrate.script	tahto.core.script*	script publication family	change-ledger-and-generator	migration dispositions and generated macro families are authoritative	ledger completeness|def.xt|def.pg|JVM and Rust parity
P3	bootstrap-exception	core/lib/src/std/foundation/bootstrap.hal	std.foundation.bootstrap	runtime namespaces	ns-publics inventory	preserve	bootstrap construction and validation not facade publication	bootstrap parity
P3	introspection	core/lib/src/tool/lint/profile.hal	tool.lint.profile	analysed namespaces	ns-publics discovery	preserve	analysis logic not publication	lint profile tests
P3	introspection	core/lib/src/lang/common/grammar.hal	lang.common.grammar	grammar namespaces	ns-publics discovery	preserve	grammar construction not publication	grammar tests
P3	tooling	scripts/runtime/foundation_parity.py	foundation parity tool	source and target inventories	intern-in and intern-all parser	preserve	validator consumes publication forms rather than creating facade Vars	parity script tests
